Image Name,Category,Layer,Features Shown,User Correct
"bird, layer 2, top 3",bird,2,3,0.3333333333
"bird, layer 2, top 10",bird,2,10,1
"bird, layer 2, top 18",bird,2,18,1
"bird, layer 3, top 3",bird,3,3,1
"bird, layer 3, top 10",bird,3,10,1
"bird, layer 3, top 18",bird,3,18,1
"bird, layer 7, top 3",bird,7,3,1
"bird, layer 7, top 10",bird,7,10,1
"bird, layer 7, top 18",bird,7,18,1
"cat, layer 3, top 3",cat,3,3,0.6666666667
"cat, layer 3, top 10",cat,3,10,0.6666666667
"cat, layer 3, top 18",cat,3,18,0.6666666667
"cat, layer 4, top 3",cat,4,3,0.6666666667
"cat, layer 4, top 10",cat,4,10,0.6666666667
"cat, layer 4, top 18",cat,4,18,0.6666666667
"cat, layer 5, top 3",cat,5,3,0.3333333333
"cat, layer 5, top 10",cat,5,10,0.3333333333
"cat, layer 5, top 18",cat,5,18,0
"dog, layer 3, top 3",dog,3,3,0
"dog, layer 3, top 10",dog,3,10,0
"dog, layer 3, top 18",dog,3,18,0.3333333333
"dog, layer 7, top 3",dog,7,3,0.3333333333
"dog, layer 7, top 10",dog,7,10,1
"dog, layer 7, top 18",dog,7,18,1
"dog, layer 8, top 3",dog,8,3,0
"dog, layer 8, top 10",dog,8,10,0.3333333333
"dog, layer 8, top 18",dog,8,18,0.6666666667
"donut, layer 5, top 3",donut,5,3,0
"donut, layer 5, top 10",donut,5,10,1
"donut, layer 5, top 18",donut,5,18,0.6666666667
"donut, layer 6, top 3",donut,6,3,0
"donut, layer 6, top 10",donut,6,10,0.3333333333
"donut, layer 6, top 18",donut,6,18,1
"donut, layer 8, top 3",donut,8,3,1
"donut, layer 8, top 10",donut,8,10,1
"donut, layer 8, top 18",donut,8,18,1
"rose, layer 5, top 3",rose,5,3,0
"rose, layer 5, top 10",rose,5,10,0
"rose, layer 5, top 18",rose,5,18,0
"rose, layer 6, top 3",rose,6,3,0.3333333333
"rose, layer 6, top 10",rose,6,10,0.3333333333
"rose, layer 6, top 18",rose,6,18,0.3333333333
"rose, layer 7, top 3",rose,7,3,0
"rose, layer 7, top 10",rose,7,10,0
"rose, layer 7, top 18",rose,7,18,0
