Image Name,Category,Layer,Features Shown,User Correct
"Abacus,  05,  02",Abacus,5,2,0.821428571
"Abacus,  05,  05",Abacus,5,5,0.892857143
"Abacus,  05,  10",Abacus,5,10,0.964285714
"Abacus,  08,  02",Abacus,8,2,0.928571429
"Abacus,  08,  05",Abacus,8,5,0.964285714
"Abacus,  08,  10",Abacus,8,10,0.964285714
"Abacus,  10,  02",Abacus,10,2,0.964285714
"Abacus,  10,  05",Abacus,10,5,0.964285714
"Abacus ,  10,  10",Abacus ,10,10,0.964285714
"Arctic Fox,  03,  02",Arctic Fox,3,2,0.821428571
"Arctic Fox,  03,  05",Arctic Fox,3,5,0.892857143
"Arctic Fox,  03,  10",Arctic Fox,3,10,0.857142857
"Arctic Fox,  10,  02",Arctic Fox,10,2,0.892857143
"Arctic Fox,  10,  05",Arctic Fox,10,5,0.857142857
"Arctic Fox,  10,  10",Arctic Fox,10,10,0.75
"Arctic Fox,  13,  02",Arctic Fox,13,2,0.892857143
"Arctic Fox,  13,  05",Arctic Fox,13,5,0.964285714
"Arctic Fox,  13,  10",Arctic Fox,13,10,0.964285714
"Bottle,  06,  02",Bottle,6,2,0.892857143
"Bottle,  06,  05",Bottle,6,5,0.857142857
"Bottle,  06,  10",Bottle,6,10,0.857142857
"Bottle,  08,  02",Bottle,8,2,0.5
"Bottle,  08,  05",Bottle,8,5,0.678571429
"Bottle,  08,  10",Bottle,8,10,0.678571429
"Bottle,  10,  02",Bottle,10,2,0.535714286
"Bottle,  10,  05",Bottle,10,5,0.357142857
"Bottle,  10,  10",Bottle,10,10,0.392857143
"Chainsaw,  03,  02",Chainsaw,3,2,0.785714286
"Chainsaw,  03,  05",Chainsaw,3,5,0.857142857
"Chainsaw,  03,  10",Chainsaw,3,10,0.857142857
"Chainsaw,  06,  02",Chainsaw,6,2,0.178571429
"Chainsaw,  06,  05",Chainsaw,6,5,0.357142857
"Chainsaw,  06,  10",Chainsaw,6,10,0.392857143
"Chainsaw,  09,  02",Chainsaw,9,2,0.892857143
"Chainsaw,  09,  05",Chainsaw,9,5,0.714285714
"Chainsaw,  09,  10",Chainsaw,9,10,0.857142857
"Polariod,  03,  02",Polariod,3,2,0.392857143
"Polariod,  03,  05",Polariod,3,5,0.5
"Polariod,  03,  10",Polariod,3,10,0.642857143
"Polariod,  07,  02",Polariod,7,2,0.714285714
"Polariod,  07,  05",Polariod,7,5,0.821428571
"Polariod,  07,  10",Polariod,7,10,0.785714286
"Polariod,  10,  02",Polariod,10,2,0.142857143
"Polariod,  10,  05",Polariod,10,5,0.75
"Polariod,  10,  10",Polariod,10,10,0.75
